HU,Pagina,CP,Descripcion Original,Descripcion Corregida,Tipo
HU-001,Landing Page,CP-01,Página principal carga correctamente,Página principal carga correctamente. Hero con imagen banner y botón "¡Inscríbete ya!" que enlaza a /sedes,Automático
HU-001,Landing Page,CP-02,Botón Comenzar redirige a Membresías,Botón "¡Inscríbete ya!" en hero redirige a /sedes (no a Membresías). El texto real es "¡Inscríbete ya!",Automático
HU-001,Landing Page,CP-03,Navbar con enlaces Inicio, Sedes, Membresías,Navbar con logo FullFit y enlaces a Sedes y Membresías. No existe enlace "Inicio" como texto. También incluye "Iniciar Sesión" y "Registrarse",Automático
HU-001,Landing Page,CP-04,Testimonios visibles en sección dedicada,No hay sección de testimonios en la landing page actual. La página solo renderiza HomeBanner + h2 + InfiniteScroll + Container vacío,Automático
HU-001,Landing Page,CP-05,CTA final "Únete" / "Empieza Hoy",El único CTA es el botón "¡Inscríbete ya!" en el hero que enlaza a /sedes. No hay CTA final separado,Automático
HU-001,Landing Page,CP-06,Footer con enlaces y contacto,Footer presente con enlaces de redes sociales disponibles,Automático
HU-002,Sedes,CP-07,Página de Sedes carga correctamente,Página Server Component carga correctamente con datos desde Supabase (tabla sedes),Automático
HU-002,Sedes,CP-08,Sección de contadores/estadísticas visible,Sección de estadísticas visible con contador dinámico "{n} Sedes" e indicador "24/7 Soporte". No dice "Sedes Activas" ni "Distritos Cubiertos",Automático
HU-002,Sedes,CP-09,Se renderizan tarjetas de sede,Tarjetas de sede se renderizan dinámicamente si hay datos en Supabase. Cada una con nombre, ubicación y botones de acción,Automático
HU-002,Sedes,CP-10,Panel de horarios expandible,Botón "Ver Más" expande panel con horarios (Lunes a Domingo). Domingo muestra "Cerrado". Botón "Cómo llegar" abre Google Maps,Automático
HU-002,Sedes,CP-11,Enlace a Membresías visible,Enlace a Membresías visible como CTA al final de la página,Automático
HU-002,Sedes,CP-12,Footer visible,Footer visible con información institucional,Automático
HU-003,Membresías,CP-13,Página de Membresías carga correctamente,Página Server Component carga correctamente con datos desde Supabase (tabla planes_membresia),Automático
HU-003,Membresías,CP-14,Contador de planes disponibles,Indicador "{n} Planes" y "100% Flexible" visibles en sección de estadísticas,Automático
HU-003,Membresías,CP-15,Se renderizan tarjetas de plan,Tarjetas para Mensual, Trimestral, Anual con nombre, precio (S/.), características y badge "Más Popular" en Trimestral. Depende de datos en Supabase,Automático
HU-003,Membresías,CP-16,Botón "Elegir Plan" enlaza a pasarela de pago,Botón "Elegir Plan" enlaza a /pasarelapago?plan={uuid}. Requiere autenticación para acceder,Automático
HU-003,Membresías,CP-17,Selección de plan se resalta visualmente,No hay estado de selección visual. Todos los planes se muestran al mismo nivel. El badge "Más Popular" es la única distinción visual,Manual
HU-003,Membresías,CP-18,Precios y duración de planes son correctos,Precios y duración provienen de la tabla planes_membresia en Supabase (campos: precio, duracion_dias). No hay valores hardcodeados,Manual
HU-004,Registro,CP-19,Página de Registro carga correctamente,Página Client Component con formulario. Título "Crear Cuenta" y descripción "Únete a Full Forma y alcanza tus metas",Automático
HU-004,Registro,CP-20,Formulario tiene campos requeridos,Campos: DNI (con pattern [0-9]{8} y maxLength=8), Correo (type=email), Contraseña, Confirmar Contraseña, y checkbox de términos,Automático
